{PERIODS};Electricity (%_elec);Space Heating (%_sh);Passanger mobility (%_pass);Freight mobility (%_freight);PV;Wind_onshore;Wind_offshore;Hydro_river;Solar
7391;0.000114246;0.00010978;2.35E-05;0.000114155;0;0.4799;0.909;0.418317205;0
7392;0.000120427;0.000110848;9.40E-06;0.000114155;0;0.4473;0.892853659;0.418536714;0
7393;1.17E-04;0.00011283;5.87E-06;0.000114155;0;0.4088;0.859634146;0.418765767;0
7394;1.05E-04;0.000115974;2.35E-06;0.000114155;0;0.3624;0.793365854;0.418985276;0
7395;1.02E-04;0.000116079;1.17E-06;0.000114155;0;0.3235;0.722512195;0.419204785;0
7396;9.64E-05;0.000117467;1.41E-05;0.000114155;0;0.2926;0.64697561;0.419433838;0
7397;9.26E-05;0.000120732;3.76E-05;0.000114155;0;0.2756;0.552585366;0.419653347;0
7398;9.27E-05;0.000128056;9.40E-05;0.000114155;0;0.2746;0.481853659;0.419882399;0
7399;0.000100724;0.000135708;0.0001821;0.000114155;0;0.2581;0.452585366;0.420101908;0
7400;0.000117789;0.000142846;0.000158603;0.000114155;5.39084E-05;0.2218;0.436634146;0.420330961;5.39084E-05
7401;0.000124389;0.00014936;0.000146855;0.000114155;0.028355795;0.1777;0.448829268;0.42055047;0.028355795
7402;0.000126708;0.000154888;0.000164478;0.000114155;0.121024259;0.1542;0.494365854;0.420779523;0.121024259
7403;0.000127762;0.000151469;0.000187974;0.000114155;0.231428571;0.1565;0.531170732;0.420999032;0.231428571
7404;0.000128298;0.000143127;0.000206772;0.000114155;0.276819407;0.1464;0.551853659;0.421218541;0.276819407
7405;0.000131973;0.000133527;0.000187974;0.000114155;0.30916442;0.1409;0.565390244;0.421447593;0.30916442
7406;0.000132359;0.000127674;0.000190324;0.000114155;0.28916442;0.1376;0.580365854;0.421667102;0.28916442
7407;0.000129182;0.000121245;0.000213821;0.000114155;0.265498652;0.1221;0.586804878;0.421896155;0.265498652
7408;0.000125732;0.000116113;0.00022322;0.000114155;0.186307278;0.1082;0.582487805;0.422115664;0.186307278
7409;0.000122694;0.000120112;0.00022322;0.000114155;0.084690027;0.1156;0.582170732;0.422344717;0.084690027
7410;0.000121356;0.000128631;0.000164478;0.000114155;1.47E-02;0.1193;0.589390244;0.422564226;0.014663073
7411;0.000130906;0.000143226;0.000117484;0.000114155;0.000215633;0.1167;0.610853659;0.422783735;0.000215633
7412;0.000139749;0.000146417;8.81E-05;0.000114155;0;0.1158;0.642073171;0.423012788;0
7413;0.000132603;0.0001503;5.87E-05;0.000114155;0;0.1183;0.680926829;0.423232296;0
7414;0.000121324;0.000148934;3.76E-05;0.000114155;0;0.1241;0.722097561;0.423461349;0
7415;0.000112591;0.000151828;2.35E-05;0.000114155;0;0.138;0.75004878;0.423680858;0
7416;0.000117607;0.000153218;9.40E-06;0.000114155;0;0.1523;0.754073171;0.423909911;0
7417;1.14E-04;0.000155483;5.87E-06;0.000114155;0;0.1554;0.725536585;0.42412942;0
7418;1.01E-04;0.00015936;2.35E-06;0.000114155;0;0.1522;0.682170732;0.424358473;0
7419;9.78E-05;0.000158708;1.17E-06;0.000114155;0;0.1458;0.642;0.42454935;0
7420;9.17E-05;0.000158717;1.41E-05;0.000114155;0;0.131;0.594292683;0.424778403;0
7421;8.81E-05;0.000160522;3.76E-05;0.000114155;0;0.1222;0.543756098;0.424997912;0
7422;8.82E-05;0.000166862;9.40E-05;0.000114155;0;0.1179;0.492390244;0.425226965;0
7423;9.61025E-05;0.000173228;0.0001821;0.000114155;0;0.1227;0.444292683;0.425446473;0
7424;0.000112158;0.000178693;0.000158603;0.000114155;5.39E-05;0.1308;0.398804878;0.425675526;5.39084E-05
7425;0.000119112;0.000183679;0.000146855;0.000114155;0.025498652;0.1221;0.339585366;0.425895035;0.025498652
7426;0.000123419;0.000187573;0.000164478;0.000114155;0.121347709;0.1153;0.283292683;0.426114544;0.121347709
7427;0.000125305;0.000181193;0.000187974;0.000114155;0.245660377;0.1124;0.255512195;0.426343597;0.245660377
7428;0.000127388;0.000169629;0.000206772;0.000114155;0.313423181;0.1161;0.257439024;0.426563106;0.313423181
